Case #1: 70
18 10 280146
14 13 185041
14 9 421877
11 23 197785
17 12 268397
6 15 127622
27 24 196160
30 20 107966
7 16 248426
26 13 100434
17 6 162788
24 4 152314
15 13 102996
7 24 64633
23 19 156800
1 4 115898
7 11 210316
1 19 9928
22 3 361499
8 12 368843
15 17 35166
3 13 344536
23 17 242204
19 29 164701
30 10 157839
18 29 281951
17 22 180631
5 9 396274
19 20 169358
16 29 254630
24 6 135433
18 1 127178
4 20 102837
13 2 232715
16 4 233140
20 18 257181
19 31 232945
13 24 95185
30 19 150147
26 1 187170
24 1 181921
6 21 9596
13 23 253464
11 16 103054
5 18 246175
17 29 182561
19 7 127216
17 4 179669
26 21 120588
10 16 226458
28 21 115636
5 4 36861
1 3 284903
13 30 180660
10 2 115251
7 10 189466
28 2 41442
4 29 72637
7 30 150108
22 29 213879
30 21 31606
2 25 197813
27 9 447301
10 29 136242
15 3 313508
17 27 198347
8 30 107714
8 29 122268
3 4 202767
26 15 2562
29 24 155206
4 27 264684
20 10 231608
3 19 294831
10 11 123404
22 28 111898
26 7 69882
17 13 122540
27 26 201409
20 24 97564
12 10 273473
15 7 72444
25 24 222917
12 30 283694
23 24 214849
24 8 201945
10 28 73809
5 19 128925
12 14 425723
22 12 285071
1 29 154773
25 11 205966
25 7 272028
27 10 55805
22 21 166017
10 24 140355
29 12 358087
10 17 142542
8 2 171669
25 3 294227
22 6 175613
5 15 107642
24 14 219122
18 26 164866
7 1 117288
16 30 179671
17 18 197470
20 9 309530
1 8 165529
20 25 314170
25 29 218804
11 17 118328
27 25 26757
9 30 401717
23 1 166728
5 30 21222
21 3 195482
8 21 76108
18 11 173048
23 10 321189
6 27 247803
18 9 341287
10 31 223639
6 19 108945
14 4 140273
13 21 149054
17 21 153192
7 31 147917
18 14 333587
21 18 235791
3 2 291043
2 30 106399
9 1 384676
28 4 137499
16 28 152649
16 2 111207
28 15 103899
23 30 274402
5 2 85177
9 29 451242
31 4 219976
8 18 290888
3 14 309278
14 19 232337
1 16 142364
31 1 242873
3 6 185886
24 15 7811
30 22 138920
15 29 147395
5 27 234866
16 24 183793
3 29 241642
8 23 246154
2 27 171056
4 9 412367
28 9 317687
30 15 128864
25 22 167335
10 8 258510
27 30 213644
25 18 347551
24 22 207986
30 14 164594
22 31 141260
25 23 302817
19 26 197098
26 10 145604
21 23 275341
15 4 144503
27 1 242191
7 18 234748
25 21 272007
9 26 337270
4 30 53469
9 22 429585
31 9 375139
2 1 172069
27 21 245250
24 26 5249
13 6 158650
15 19 199660
8 31 251932
9 17 359376
5 21 10384
29 31 222868
3 30 227088
8 6 66512
24 12 295752
6 2 105157
26 11 150932
4 8 83393
19 17 210096
28 8 191744
20 29 141712
26 6 130184
22 1 101613
13 28 191273
12 6 302331
20 16 265735
27 15 203971
31 30 204337
2 21 95561
20 26 92315
3 11 299196
23 3 440440
27 28 129614
27 3 267470
29 28 163498
17 14 246477
6 9 395486
1 17 209276
24 21 125837
14 20 196631
5 26 110204
2 19 162141
28 14 248624
11 1 163916
Case #71: 316
13 18 195343
22 34 195854
4 14 222297
32 21 109373
21 18 177647
21 33 258242
33 26 248923
28 16 109508
23 7 145468
16 7 115178
20 6 267597
35 29 156220
2 32 214259
5 23 78385
33 4 266558
26 36 141148
21 2 244499
31 32 179485
33 36 114829
12 2 250580
23 33 237969
33 11 211325
33 3 159955
8 14 170540
8 22 142428
23 8 189296
32 20 227130
36 7 118005
6 13 189429
19 9 194284
24 6 109496
26 4 161297
8 7 128930
25 28 129151
25 7 158263
34 29 57496
12 28 191912
17 20 245645
31 13 99322
32 27 235264
5 2 224530
20 24 187827
27 28 246985
2 36 199537
27 11 199035
2 29 175328
30 7 137089
23 9 150957
17 18 189527
1 31 110524
5 35 186344
21 28 121094
9 4 119478
29 7 124860
5 6 190798
27 26 278872
30 27 294458
35 3 43404
35 15 99928
21 17 127888
12 13 129815
32 6 169195
1 24 210717
8 33 143108
34 13 205000
8 27 212852
5 29 117740
4 15 34157
26 22 143813
22 3 182451
1 5 134190
28 4 129410
36 27 184573
10 14 211575
7 10 106147
36 25 40258
33 27 299402
8 34 61566
4 7 135080
19 21 96523
31 28 167764
24 7 189001
17 14 120256
18 35 190154
21 23 142410
20 22 181983
25 24 61828
26 30 93710
8 29 4070
2 14 238439
2 31 278408
23 14 36172
28 26 190265
30 10 166161
18 30 170058
27 35 251660
33 29 139038
31 30 199908
20 28 238851
8 16 13752
16 15 141477
36 1 109197
5 33 159584
10 31 176503
26 21 101299
19 11 156266
30 13 134581
27 13 316773
28 10 100477
24 33 209861
9 26 120936
15 27 151732
9 21 179476
25 18 53582
7 5 67083
2 25 239795
31 26 140193
32 23 161355
3 5 158134
31 6 254756
5 17 102989
36 24 102086
23 1 149034
5 30 204172
21 29 177000
14 21 162299
22 4 147531
11 17 129733
36 21 164323
24 30 54648
12 11 171862
36 10 151933
27 14 326834
9 1 50719
28 13 149394
2 13 202507
32 26 194136
27 21 177573
4 35 134085
32 16 97787
13 20 189636
35 16 165902
19 6 143782
25 20 249655
24 19 34286
10 4 57592
9 11 38018
16 21 167318
35 21 74087
32 35 183460
11 21 141458
36 9 58478
18 24 115410
32 17 18515
25 10 173341
21 12 112119
3 4 177489
35 12 109499
28 36 88893
16 10 118042
25 29 64467
27 2 302076
14 24 100062
10 24 111513
34 20 245695
32 9 73200
11 18 190336
16 23 175544
30 33 245125
6 7 151804
29 27 208782
10 22 205123
16 30 185500
29 26 155205
14 19 134348
28 19 196911
4 20 197372
21 30 116885
4 29 153747
19 30 88934
34 36 33287
12 3 66095
22 23 102702
24 5 158558
31 24 145260
24 2 200698
8 2 179398
1 14 173914
11 35 215545
24 12 49882
25 1 149455
24 23 80173
15 13 165041
24 16 135977
22 17 195804
31 35 53140
32 18 194454
10 5 109851
20 3 269625
33 22 277396
26 35 164264
29 14 166470
25 3 174102
3 26 120860
29 9 34269
5 22 181087
8 12 180247
11 16 62605
19 36 136372
19 5 192844
10 18 226923
20 18 303237
4 30 176883
3 13 79989
16 2 165646
21 15 25841
24 4 122235
19 13 114219
36 30 151609
30 8 179888
34 1 142484
19 8 164651
2 7 231650
17 25 135945
3 27 295064
31 17 174558
5 32 84474
4 36 177956
22 29 138358
13 29 184986
35 10 123363
26 20 148765
1 33 224026
34 31 112158
33 28 137148
13 10 188476
23 27 316533
8 31 107150
7 31 196876
16 25 74149
35 14 116530
15 10 23435
13 16 175304
19 3 146560
12 31 162639
25 11 136754
1 27 287772
26 11 82918
32 13 161115
2 28 225980
24 22 182875
36 15 175368
8 26 159275
5 8 121810
12 20 237709
17 6 187710
28 6 180916
15 6 104382
6 25 171324
16 22 128676
13 4 199198
6 11 151685
20 2 12871
9 2 141059
24 29 126295
6 12 159378
9 12 209880
8 18 122119
11 29 72287
33 7 166260
24 9 159998
20 11 115912
13 11 123789
5 34 151801
23 3 79749
10 2 242093
19 7 214439
33 17 143942
1 8 89058
36 14 142261
23 34 205240
35 1 163664
36 3 175415
24 34 135373
3 31 96544
11 36 96496
14 11 159721
35 23 123153
22 7 194680
28 14 113462
29 32 107469
10 21 49276
9 22 104089
13 21 142170
31 33 193700
31 20 288958
20 21 250064
5 11 121489
32 1 123919
2 15 218658
35 28 195181
13 14 35932
31 22 202264
12 18 165292
14 25 146822
11 28 122939
25 23 142001
17 23 156428
17 1 142434
3 17 236177
28 34 55606
1 7 141310
14 6 209558
1 20 204649
10 17 107271
29 15 151159
Case #72: 53
10 6 545550
11 4 369320
8 3 356846
9 3 138161
3 5 420259
4 12 284613
11 5 224431
7 8 285192
7 2 403716
9 1 45870
4 5 144889
10 7 493167
8 6 336776
8 11 287844
11 9 211023
4 10 460985
1 3 92291
6 3 317438
8 1 404536
2 10 591734
7 6 173380
8 2 212225
6 12 254277
12 9 201322
11 12 320605
1 11 165153
11 6 453885
4 8 81476
7 12 80897
8 10 379509
12 5 429502
5 10 316096
1 12 155452
9 2 397819
2 5 275638
9 6 272196
12 10 412270
11 7 401502
9 4 440142
3 10 349109
10 1 256818
9 5 295253
7 1 236349
11 3 257444
2 6 549001
2 11 500069
1 2 351949
8 9 358666
5 7 348605
1 6 288732
5 1 341123
5 6 400189
2 3 259658
Case #73: 829
21 10 146282
19 35 147579
26 5 54410
29 38 167016
8 1 35914
14 22 62032
36 8 17757
37 30 182072
7 38 173776
22 25 114014
19 13 123815
40 2 88588
14 6 9453
39 28 133926
39 32 93160
11 13 107252
36 39 105866
34 12 108655
17 26 47453
27 39 116070
8 16 72098
31 10 133376
4 22 78108
8 18 111272
6 28 51274
5 12 88880
39 24 152077
12 23 135390
27 32 66664
24 42 133965
13 41 29464
30 38 155162
18 41 132651
10 40 141984
27 8 69605
4 35 107539
36 12 89756
5 32 11830
31 40 107512
14 37 136698
4 3 52267
8 15 35109
18 40 123331
27 35 63015
9 31 79679
27 28 107430
36 34 52525
9 14 30227
36 30 59135
17 3 4498
5 18 118051
15 40 32079
14 35 116135
2 8 34524
10 42 146431
16 26 115852
1 7 60113
42 6 74070
9 29 29645
34 8 42760
42 28 104328
30 23 96102
16 41 104084
6 1 41371
2 29 68850
19 40 145112
3 21 116331
10 30 129298
42 7 104332
10 28 123635
39 19 16732
4 29 51141
36 42 76268
9 42 67927
34 15 42960
19 24 153573
11 32 61707
37 39 73038
15 32 30058
3 18 129938
4 36 29837
32 36 12706
9 11 67654
27 4 83795
5 19 98062
32 4 17131
18 13 109117
20 6 106827
32 7 65442
6 30 35921
35 21 164461
13 9 76827
26 28 83346
2 31 79980
20 41 104233
10 27 104010
37 26 161974
29 37 147487
21 37 116852
36 37 134797
17 19 96805
14 41 70134
41 21 92733
33 35 129580
4 39 83374
25 2 82476
18 7 126576
26 38 168568
30 16 121468
1 28 71629
8 17 69357
10 2 109104
20 36 109025
28 36 28060
4 30 63560
42 5 75392
29 7 48976
28 11 102473
14 20 97374
37 33 151733
35 11 121325
20 12 73908
1 22 91840
42 29 97572
9 37 134916
19 28 150658
19 10 168337
26 27 83450
36 19 122598
6 15 40566
25 35 110301
42 41 108747
12 41 60969
31 21 92738
10 9 106801
37 41 174065
30 2 56996
5 6 1322
40 8 62056
34 32 39819
26 31 89210
16 28 117915
7 3 5634
20 35 73741
14 40 58060
5 3 50223
39 29 74449
16 24 147552
28 37 162857
6 3 51545
41 23 118188
38 6 119241
40 21 109887
29 19 91181
39 14 92105
16 20 159161
16 35 175812
32 6 10508
26 41 26499
33 11 96694
17 14 65361
39 33 112159
2 26 70402
9 24 101685
17 35 50774
36 7 52736
2 9 39205
8 30 49370
35 12 123201
31 3 102894
38 13 165603
32 16 77149
31 14 49452
24 21 146805
8 24 75454
41 28 100614
26 33 31353
7 16 126174
22 38 190726
35 10 40995
42 25 101967
39 2 97430
28 13 86311
17 1 58977
25 29 107367
15 17 69692
21 28 146279
27 13 86415
6 16 85547
7 5 55857
33 4 87763
41 10 101482
18 15 91252
24 28 85757
31 38 178146
15 9 34423
34 31 88216
39 25 139600
2 16 106622
25 28 95420
29 20 118809
40 30 103434
34 1 32245
36 18 93515
10 5 94699
5 16 86869
30 22 107406
23 28 73694
18 11 167928
26 40 88468
10 11 144576
6 24 80911
39 11 112458
40 34 75039
22 3 97922
1 19 102318
42 34 76464
11 31 110104
8 21 108454
13 34 77150
14 2 30528
6 39 82652
10 14 83924
4 31 67638
41 6 76997
41 25 38573
41 2 95428
15 37 105585
35 41 71728
29 8 63868
25 5 66484
1 24 101266
35 1 109751
3 25 64025
1 11 91362
34 29 21108
27 1 94974
40 13 91433
9 28 72048
17 20 124433
27 25 95524
17 39 80073
21 19 60546
32 10 82869
37 40 137664
29 16 135966
41 30 112918
15 14 31113
8 11 64648
11 4 78838
37 2 137004
35 2 125248
12 9 108332
32 42 63562
40 20 124194
29 22 121904
26 19 126780
32 38 129749
19 20 167774
19 15 113033
20 24 166722
32 24 70403
40 9 66502
37 25 174048
31 27 115061
17 6 56043
38 36 142455
42 23 121902
29 12 129763
33 28 111398
10 8 87920
25 40 100542
13 14 46600
9 5 19452
7 31 99532
23 19 156921
35 39 130847
22 36 73683
14 33 69577
6 7 57179
34 16 114858
18 25 94078
19 32 109892
22 24 131380
16 25 127926
4 10 100000
33 9 78254
15 7 70828
8 33 73573
16 42 140711
12 40 122938
11 40 48074
29 23 107956
16 37 212792
34 33 86791
28 34 80585
30 20 142748
17 16 125038
41 9 56223
9 7 36405
6 35 106817
8 26 47631
12 15 90859
7 28 80796
23 21 152542
15 31 80565
28 40 99881
14 3 60998
3 23 101732
26 7 48589
32 2 31583
35 22 62887
30 1 77292
21 36 118219
19 3 92307
34 10 98264
41 36 72554
31 22 111484
35 8 120131
5 39 81330
31 29 109324
41 39 101027
5 8 14771
7 14 66497
30 12 123479
36 26 55286
31 17 98396
20 3 119935
34 5 27989
7 39 81209
24 5 82233
6 2 21075
37 38 228727
18 20 112477
21 30 130926
32 23 58340
36 11 74413
12 42 124363
8 20 101370
12 33 59893
33 38 137215
18 1 104520
34 9 8537
30 24 116832
14 11 60652
1 16 93705
9 30 56695
10 20 114736
13 4 62676
7 2 75610
11 29 80225
41 7 22090
15 2 61641
21 14 104458
16 15 107207
27 29 83837
39 30 118573
40 27 106384
3 39 75575
42 3 98698
18 34 134212
32 41 69079
34 38 145908
9 32 31282
28 22 101743
11 24 94317
37 5 147473
34 11 59117
14 27 65609
16 4 94280
18 30 152650
14 26 43635
8 13 50596
17 4 56765
37 24 192494
1 32 30863
7 19 97941
21 4 122644
2 1 62446
22 5 72807
12 13 31505
14 28 41821
4 9 21496
33 1 101495
23 31 108847
38 4 146880
4 37 118512
30 25 101083
12 11 118496
42 21 156127
20 21 168682
21 15 122623
23 17 97234
38 23 176778
2 4 48714
4 34 30033
28 12 117816
31 8 45456
31 12 117750
27 5 76384
31 32 50507
33 7 79942
16 22 138126
9 38 137371
14 8 3996
10 1 113732
27 3 40495
27 7 37133
33 41 57852
5 23 58859
36 31 63213
35 40 152545
13 25 15039
30 7 93100
36 2 44289
5 36 24536
29 21 72989
32 35 115080
24 18 151212
15 4 12927
14 4 18186
33 5 58802
9 6 20774
11 42 113657
22 11 122684
33 13 28388
15 22 91035
25 14 55709
27 41 56951
9 19 78610
11 41 106803
5 38 117919
38 40 186754
26 35 98227
23 33 117661
1 4 13732
30 3 87466
39 13 130491
42 15 33504
15 20 92115
1 13 76408
16 31 26642
17 34 26732
23 11 109868
18 28 65455
41 5 75675
3 8 64994
24 10 140017
38 16 204788
12 8 82101
11 26 104287
12 38 197108
22 34 100796
2 13 67437
37 18 155787
7 21 114823
22 39 154137
33 31 57857
25 6 65162
33 22 131609
28 31 91273
29 24 106840
2 28 72349
3 9 30771
13 6 56053
37 23 180431
32 17 64306
20 33 133801
10 25 92122
15 38 159807
24 36 57697
1 14 31918
26 18 106152
35 13 101192
40 33 119821
42 19 146537
23 7 98370
38 8 132690
5 2 19753
6 29 50419
10 39 151605
31 41 77442
5 30 37243
25 34 86259
42 27 130226
26 20 108378
12 3 86421
26 1 73443
20 27 134094
26 15 56389
2 22 92560
21 39 77278
37 27 189108
36 35 102374
1 5 42693
8 41 74130
33 24 111924
24 25 124241
10 6 93377
1 42 60163
25 26 12074
2 18 137804
42 31 114069
5 31 60227
37 32 135643
29 33 107870
23 15 88398
18 22 137553
41 34 47686
37 34 126379
13 3 54916
25 38 180642
14 32 1055
10 22 21892
16 27 141703
22 41 123374
11 25 116361
28 17 79660
19 41 117759
24 40 129518
20 22 136628
24 2 72875
13 21 63269
34 35 77506
20 11 156818
2 21 73930
15 5 41888
16 33 84499
35 29 98614
25 12 46544
14 19 108837
40 7 102907
12 17 81923
29 1 53353
22 42 124539
32 3 62053
13 16 112887
27 11 58310
5 4 28961
38 17 172640
15 33 87742
26 21 66234
23 6 60181
11 16 136746
12 10 114518
33 27 114803
18 6 116729
3 35 55272
29 5 49097
16 19 179926
22 8 66028
1 39 85586
14 42 64617
25 20 120452
12 32 77050
14 24 71458
19 30 135305
38 19 172421
6 19 99384
28 8 45817
16 9 106321
31 25 101284
10 15 112927
34 24 98736
42 13 92858
26 24 112167
38 21 172096
6 31 58905
4 18 104179
7 37 154247
40 4 45006
42 35 153970
24 12 96193
18 35 74666
19 4 100106
29 26 95293
42 39 129805
23 40 117455
9 8 34223
18 33 137505
7 11 86985
27 19 132802
26 12 34470
21 34 94097
26 32 42580
18 31 156728
18 9 125675
40 17 101771
24 13 109202
36 3 56098
12 16 144392
39 40 128380
33 3 83304
25 15 68463
35 37 203885
22 9 92259
36 27 79370
33 2 39049
5 35 105495
16 14 76094
11 30 87120
2 17 74474
15 13 59354
41 40 107322
6 34 29311
30 32 46429
23 14 59395
40 1 58738
6 21 95005
9 35 86043
15 30 76487
6 33 60124
19 33 95427
23 13 103885
40 22 120092
42 8 68613
39 26 127526
33 30 96045
23 9 78311
3 26 51951
34 7 27868
35 24 99022
19 2 80698
7 8 70493
2 11 70762
21 25 78308
20 32 96319
18 19 168884
6 11 51199
36 9 43988
3 40 97273
35 23 138365
21 5 93683
38 42 193311
39 20 151042
4 24 87534
37 11 178665
35 30 142738
36 1 43569
10 23 141209
32 33 70632
34 39 53341
28 5 52596
12 7 83059
41 17 20954
42 20 125619
38 1 160612
38 11 168928
14 36 13761
17 9 35269
1 21 126342
31 39 141557
12 19 155320
26 13 2965
25 23 112994
19 11 122359
21 18 108338
18 14 107276
3 24 76502
23 39 140189
18 32 106221
1 37 132244
32 29 60927
30 13 91974
18 29 155320
28 29 101693
15 11 80153
25 36 67360
4 8 22182
10 18 115661
38 24 171041
5 40 68835
12 1 107913
23 18 139149
38 41 193594
29 14 59872
36 15 42764
39 16 168199
39 12 161996
20 1 65456
5 11 51009
26 42 89893
6 26 53088
16 18 154312
6 36 23214
1 15 26659
6 40 67513
3 38 168142
27 9 71266
42 2 95145
40 42 65583
32 22 60977
31 35 149170
37 3 148613
38 14 128694
24 7 73140
29 3 43342
8 39 96101
40 29 96147
17 24 72004
9 26 73862
3 1 54479
10 26 80048
18 17 125440
37 13 164939
18 12 140622
20 23 64624
22 26 101940
11 3 81351
31 1 81370
23 26 100920
24 15 100461
6 22 71485
5 14 10775
30 31 94826
28 38 170515
18 38 235970
41 15 75243
9 39 61878
25 7 60663
17 21 113687
29 10 119372
17 42 103196
32 25 54654
29 36 73633
14 12 78105
21 9 102634
10 33 111401
19 8 112833
22 19 170869
36 16 89855
7 10 81664
17 22 102420
13 5 57375
31 24 120910
4 41 62316
23 36 45634
22 12 136410
21 33 34881
28 20 137085
32 28 40766
29 41 68794
38 35 223414
16 3 129536
30 27 110983
22 7 103556
16 10 160018
25 1 85517
12 6 87558
9 20 100684
36 10 95575
34 2 47742
28 15 70824
30 28 87195
12 21 94774
25 4 71785
31 19 153284
38 20 226068
30 26 89009
40 16 134154
8 23 63391
18 27 137681
27 24 36007
17 25 59527
13 22 104905
39 15 96301
4 6 27639
17 11 85849
1 41 48584
17 33 78806
3 2 69976
5 20 108149
19 37 56306
13 17 50418
31 13 86245
42 37 139089
20 34 97701
17 37 153111
6 8 13449
30 34 65232
2 20 127902
37 31 186150
29 15 64068
30 17 91964
35 15 120466
23 27 125004
19 34 70073
11 21 61813
36 40 71821
12 4 94181
26 34 74185
17 5 54721
27 21 120123
2 12 98942
4 26 59711
13 10 83013
21 32 105513
35 7 51910
3 15 65194
20 13 105413
27 12 60186
4 7 57901
20 37 197700
14 30 45374
34 27 62729
25 33 43427
4 42 46431
23 2 78612
36 17 51600
7 17 1136
36 13 58251
13 7 51554
42 33 121246
34 14 38764
32 40 59115
37 6 146151
29 13 98258
4 23 75471
37 10 218512
35 28 130434
3 34 22234
25 19 138854
4 20 79188
27 15 96722
9 1 35228
10 38 207270
38 27 194303
23 34 86848
16 23 135489
Case #74: 198
23 19 142312
13 6 193135
7 24 130789
2 15 81637
2 5 155911
20 11 189355
11 3 89275
1 18 162803
7 8 362619
17 6 231043
16 18 146468
3 18 163344
16 3 25560
19 4 112008
17 20 145251
7 5 86384
14 22 216107
18 11 74069
6 12 134901
10 21 249691
2 21 125702
4 5 186360
15 23 202674
4 15 164020
24 10 210206
7 2 69527
5 12 126315
5 15 129930
13 24 135224
8 14 205004
11 23 188631
4 21 177612
3 9 158067
5 18 102102
20 24 261793
1 10 275229
3 19 135594
3 10 161165
8 18 346901
3 6 219624
15 14 210273
12 19 144601
21 14 127661
7 11 58351
16 6 202748
4 24 138127
8 4 155053
22 20 211671
5 3 61242
20 18 172677
2 1 216612
1 22 201797
3 4 247602
7 16 130750
3 20 142516
1 14 264028
13 10 126137
16 2 200277
9 23 313489
12 14 156874
7 4 207566
13 5 34753
16 8 373260
21 8 332665
5 19 74352
4 16 230726
9 6 255207
24 17 173132
14 19 62057
19 10 184087
2 23 228655
11 17 100694
23 3 277906
5 16 86802
16 1 199623
11 2 127878
10 9 188209
6 1 242055
5 1 233469
22 18 38994
22 17 213714
22 11 113063
21 23 207916
2 22 92803
1 23 300337
17 16 28295
16 19 118718
22 9 191475
12 8 361878
6 23 58282
13 9 62072
17 8 401555
24 1 248223
22 10 250831
5 17 115097
19 17 147013
4 14 49951
11 1 205436
6 20 251929
5 23 216664
1 20 224182
1 13 268222
12 13 161068
18 14 182445
21 22 110887
11 8 313380
4 9 283185
4 13 221113
22 19 159382
7 22 54712
7 1 147085
13 21 174709
16 22 185462
2 6 244359
10 16 135605
9 21 224374
9 19 171177
23 7 190564
22 4 230842
1 8 282321
24 23 168431
2 18 53809
21 18 71893
15 17 202548
9 18 152481
9 24 197296
16 15 174296
6 8 226977
6 5 158382
7 18 15718
11 24 72438
13 19 109105
13 23 251417
10 15 239665
3 15 191172
9 8 313777
22 5 141096
21 20 213134
9 16 183627
3 13 95995
19 18 120388
13 17 149850
2 13 177025
22 6 194134
7 12 39931
19 15 148216
9 20 204092
4 12 206825
20 12 117028
5 8 286458
8 3 347700
18 12 55649
18 4 191848
10 14 246144
23 12 193183
21 11 111923
6 14 21973
1 17 227918
13 8 251705
12 9 208130
7 14 166727
14 11 108376
19 8 267061
6 15 218378
22 23 135852
22 12 94643
16 14 180775
8 15 319073
19 11 46319
13 15 164683
24 16 144837
10 23 326399
10 8 377842
20 15 200505
14 3 197651
11 15 101897
7 15 43546
18 24 146507
6 4 71924
15 18 27828
12 16 170681
17 9 211922
23 8 285259
3 22 202338
10 20 252561
18 13 136855
12 10 220915
23 20 310211
15 12 83477
23 4 130206
16 23 261030
11 13 62786
16 21 131122
10 4 235690
7 19 104670
14 13 171162
5 20 176773
1 21 203260
Case #75: 1000
19 2 52253
18 26 109155
45 27 49231
10 5 59204
43 6 120940
24 14 16930
45 2 45504
23 10 39142
20 29 73170
12 7 76575
7 32 53925
29 34 84979
34 36 33834
22 46 74100
20 9 66477
9 46 56476
24 33 51226
19 17 77828
19 1 51026
42 28 133330
45 10 65052
17 13 139076
5 43 75084
39 38 18638
21 7 85431
28 18 203296
45 9 70127
25 32 121581
11 4 88051
15 5 61816
5 26 46875
10 9 57442
27 9 101261
41 28 142206
1 34 52436
6 14 83028
15 19 74413
45 40 83050
4 14 81608
30 21 125914
45 6 83407
17 27 75085
14 20 21660
11 31 39237
1 38 24105
34 41 38492
44 12 107880
3 37 79774
3 4 155068
40 4 139348
22 38 67579
45 5 34726
29 30 111433
17 33 80065
42 37 52560
15 42 119014
23 33 69928
16 28 174434
38 25 102458
3 41 68437
40 28 204969
27 5 51577
37 4 112251
29 46 62439
14 34 33469
41 6 88051
6 23 86743
27 12 90574
20 31 23266
7 14 18116
18 2 61548
22 24 79371
10 30 101737
2 7 2078
28 39 163691
18 24 98672
46 10 51401
20 40 42621
44 45 34157
2 20 41854
24 29 67710
7 44 62444
45 7 43426
4 35 116450
34 42 55386
17 20 67429
4 42 129390
35 41 75448
8 1 41592
19 6 90758
1 21 101421
37 26 47780
39 23 59408
9 8 67442
32 19 104100
36 31 1241
29 2 51860
17 31 47375
15 34 90418
30 8 45696
24 44 66351
28 2 167423
22 10 65951
29 19 82839
11 12 96090
26 36 27778
33 21 116750
7 27 51588
8 41 17602
2 36 20559
27 13 159095
35 2 55036
1 42 66749
16 20 74540
15 37 87592
29 14 51510
43 45 91985
18 11 88185
18 31 83348
13 46 114310
30 39 78457
28 44 163803
16 43 88924
40 14 57740
36 41 4658
22 26 89854
15 43 136900
43 32 144111
17 18 35973
15 25 106231
2 43 92264
12 22 120900
10 20 51948
11 20 49015
43 23 76826
44 15 83644
33 2 54490
4 16 98256
15 13 183929
1 41 23990
20 44 81127
26 14 27413
42 11 77716
39 27 69944
13 23 128939
6 16 38619
46 33 45955
25 7 79204
12 40 116199
29 3 98540
31 41 5899
20 37 42027
21 16 101932
18 23 76986
40 11 91636
30 32 92079
45 41 20287
43 9 123757
37 39 44143
32 16 84533
3 40 131200
16 22 9561
5 33 53758
30 19 55130
21 41 77431
35 6 126341
13 24 119581
13 45 127961
46 2 31853
6 38 77890
41 29 55803
44 39 83243
8 45 37889
46 25 108979
6 10 95009
20 43 100600
29 38 56648
4 21 74980
38 19 37197
14 11 37631
16 40 110620
38 11 32493
22 13 151574
37 28 126612
38 23 40770
43 30 117617
17 37 76412
38 40 59143
46 38 16797
3 28 73769
30 13 164646
45 18 73650
13 11 135982
24 9 61747
12 10 98201
39 12 74921
35 11 34265
7 37 48759
10 27 73214
42 30 99731
32 42 119823
39 6 96528
5 17 65231
32 37 102684
1 12 77426
5 30 42533
16 34 86349
40 36 58105
1 43 97907
7 18 63626
4 8 104233
20 42 69442
30 24 68879
23 37 59873
41 40 62763
31 16 54486
26 17 73182
10 8 62367
29 15 92150
36 27 56809
22 45 54349
43 33 113236
11 10 2933
24 2 37124
15 8 64979
8 37 22613
26 15 108691
46 19 20400
31 21 83330
2 4 65570
13 4 47931
7 34 51585
42 35 111981
17 9 90586
15 33 115574
29 4 106473
25 44 123385
46 35 82084
7 16 34764
45 23 60942
25 37 127963
18 10 85252
5 19 12597
19 35 83253
9 38 49955
1 4 100575
23 41 40655
17 4 91145
42 8 60361
34 5 28602
42 31 48658
20 33 12636
4 33 115904
4 46 93267
42 19 69795
35 12 109653
6 25 83059
1 15 100245
5 21 91870
46 30 50336
10 19 71801
29 18 113408
39 10 54064
13 44 145898
5 32 91503
39 33 47796
39 4 105384
30 28 170300
33 41 39319
6 8 74998
9 39 68593
15 39 97740
12 33 92755
25 12 155779
2 17 25575
12 6 117158
14 27 56444
37 29 82153
6 15 59826
39 46 35435
10 35 31332
20 27 67828
10 43 115968
20 4 103268
9 40 102557
19 44 81480
31 1 20573
23 3 96697
20 8 44285
11 32 78484
17 30 107307
27 32 101357
42 27 26759
14 2 20194
15 3 115814
43 12 114081
9 30 106812
20 22 84101
26 38 22275
15 20 102938
16 5 72342
25 21 143744
39 24 40706
8 31 23501
46 32 83700
27 3 86320
38 16 58018
7 24 35046
19 14 32059
15 18 90653
5 41 14439
31 14 1606
28 22 183995
34 46 36405
27 31 58050
7 1 37083
18 5 101204
27 23 34072
44 32 112213
42 5 57198
31 39 25382
11 39 51131
44 17 71834
43 46 67281
12 42 96195
19 39 48521
41 25 102343
15 12 100813
16 2 32686
6 5 78161
13 34 136120
22 15 71352
22 19 94500
33 10 64584
9 16 97697
24 38 22068
23 44 75804
39 45 49086
10 17 49279
3 35 85739
22 8 85066
36 5 19097
36 24 16565
8 33 56921
43 14 78940
8 40 80365
19 7 50175
38 28 152117
7 9 62933
34 44 92936
21 36 82089
32 33 106337
6 27 78186
34 38 28331
29 7 53938
43 41 73917
44 5 68883
5 13 122113
37 9 75460
36 11 37996
15 28 189583
40 13 160391
28 13 249880
4 38 86746
2 11 26637
23 30 90402
41 16 57903
45 34 58779
21 38 87592
3 33 107756
6 37 52385
14 36 365
42 45 22472
15 11 118909
31 33 35902
43 37 68555
42 41 42759
32 13 165348
18 22 19301
